"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HLA-DMB,0,-1.78163634317731,0.112,0.418,0,Neutral,HLA-DMB
UCP2,1.11253692926989e-308,-1.14904393489581,0.231,0.612,1.11253717693552e-308,Neutral,UCP2
GPX1,1.20553817213209e-287,-1.39230686633038,0.574,0.82,1.83253857545798e-283,Neutral,GPX1
HLA-DMA,5.20309707637811e-287,-1.45793321879878,0.236,0.574,7.90922786580236e-283,Neutral,HLA-DMA
SERPINA1,3.34128066285369e-277,-1.67228890607284,0.119,0.381,5.07908073560389e-273,Neutral,SERPINA1
HLA-DQA1,1.81346502665218e-273,-1.73571609744172,0.209,0.517,2.75664818701397e-269,Neutral,HLA-DQA1
SYNGR2,8.46393281046192e-270,-1.10388173479488,0.32,0.691,1.28660242651832e-265,Neutral,SYNGR2
MGST2,1.04286524079491e-262,-1.53850446198419,0.155,0.432,1.58525945253234e-258,Neutral,MGST2
GSDMD,7.23320282245372e-259,-1.34373178959626,0.182,0.479,1.09951916104119e-254,Neutral,GSDMD
MS4A6A,1.5733176341154e-248,-2.00303632095851,0.063,0.253,2.39160013561881e-244,Neutral,MS4A6A
HLA-DPA1,7.41744823237006e-247,-1.59070216846605,0.357,0.663,1.12752630580257e-242,Neutral,HLA-DPA1
TMEM219,1.02895864778635e-243,-1.05279573715451,0.369,0.711,1.56412004050003e-239,Neutral,TMEM219
SLC25A39,8.60712993433169e-243,-1.18167612405708,0.271,0.592,1.30836982131776e-238,Neutral,SLC25A39
LSM4,3.27183229008199e-240,-1.17989913681899,0.285,0.606,4.97351226415363e-236,Neutral,LSM4
SPI1,4.44911125282654e-240,-1.63638083180772,0.11,0.346,6.76309401542162e-236,Neutral,SPI1
GRN,1.61450298281509e-238,-1.46013572329809,0.331,0.661,2.45420598417722e-234,Neutral,GRN
HLA-DRB5,3.73577879579827e-238,-1.86391594342807,0.204,0.478,5.67875734749295e-234,Neutral,HLA-DRB5
CTSZ,1.9056471060221e-237,-1.22276966079749,0.281,0.606,2.89677416586419e-233,Neutral,CTSZ
ASRGL1,9.4497956231156e-234,-2.06495865001463,0.081,0.283,1.4364634326698e-229,Neutral,ASRGL1
HLA-DRA,2.00002053540554e-232,-1.52350480147664,0.396,0.696,3.04023121586996e-228,Neutral,HLA-DRA
AIF1,7.26882885788241e-229,-1.71380914392242,0.116,0.346,1.1049346746867e-224,Neutral,AIF1
TSPO,2.07329118316715e-226,-1.08567050808791,0.462,0.758,3.15160992753238e-222,Neutral,TSPO
VAMP8,5.71753711357565e-225,-1.00967759375265,0.396,0.733,8.69122816634635e-221,Neutral,VAMP8
HINT2,1.52448324338841e-224,-1.11269176166311,0.179,0.46,2.31736697827473e-220,Neutral,HINT2
LST1,1.90528721922726e-221,-1.65931400031741,0.105,0.325,2.89622710194736e-217,Neutral,LST1
THEMIS2,7.17071572128764e-219,-1.17590517899541,0.131,0.379,1.09002049679293e-214,Neutral,THEMIS2
CYBA,9.88819901830136e-219,-0.932970443386142,0.704,0.941,1.50310513277199e-214,Neutral,CYBA
CD74,1.3585929550925e-218,-1.57341190378558,0.667,0.876,2.06519715103611e-214,Neutral,CD74
VPS28,2.13887246424784e-214,-1.31770260482331,0.406,0.712,3.25130003290315e-210,Neutral,VPS28
HLA-DQB1,1.18188404114013e-212,-1.43530413926054,0.349,0.647,1.79658193093712e-208,Neutral,HLA-DQB1
MIF4GD,1.25018100985482e-211,-1.05952245268218,0.102,0.323,1.90040015308031e-207,Neutral,MIF4GD
PSME2,1.70177860275629e-211,-1.10893366108218,0.468,0.792,2.58687365404983e-207,Neutral,PSME2
CST6,3.4661691016662e-211,-1.20591781109364,0.079,0.273,5.26892365144279e-207,Neutral,CST6
NAA38,1.42959515267751e-206,-1.06072772697249,0.276,0.577,2.17312759158508e-202,Neutral,NAA38
PYCARD,2.21802575192513e-205,-1.29634033413669,0.167,0.427,3.3716209455014e-201,Neutral,PYCARD
PTGS1,3.44503092826024e-205,-1.76101494192646,0.085,0.279,5.23679151404839e-201,Neutral,PTGS1
HLA-DRB1,8.6900655831559e-204,-1.61062179464256,0.418,0.693,1.32097686929553e-199,Neutral,HLA-DRB1
CHCHD10,1.51222209064397e-203,-1.14581443538173,0.346,0.644,2.2987287999879e-199,Neutral,CHCHD10
PCBD1,9.21750260707224e-202,-1.20610254553103,0.247,0.529,1.40115257130105e-197,Neutral,PCBD1
DNPH1,1.24831181429826e-201,-0.974557233924705,0.255,0.555,1.89755878891479e-197,Neutral,DNPH1
C1QC,5.11587597852842e-201,-1.98877496737208,0.104,0.308,7.77664307496105e-197,Neutral,C1QC
SURF1,1.88676841813237e-200,-0.972844265472869,0.226,0.514,2.86807667240301e-196,Neutral,SURF1
ATP6AP1,4.24920303925072e-200,-1.04695109224476,0.226,0.512,6.45921353996503e-196,Neutral,ATP6AP1
ATOX1,2.60076121014396e-199,-0.998469765754157,0.364,0.676,3.95341711553984e-195,Neutral,ATOX1
GSTP1,1.55499751162867e-198,-0.995426885006828,0.583,0.844,2.36375171742674e-194,Neutral,GSTP1
COMT,3.97844157869093e-198,-1.07589954168385,0.234,0.521,6.04762904376808e-194,Neutral,COMT
LILRB4,5.77185317517164e-198,-1.62263285356434,0.081,0.27,8.77379401157842e-194,Neutral,LILRB4
CXCL16,9.10850618955642e-198,-1.05434438482053,0.221,0.511,1.38458402587447e-193,Neutral,CXCL16
IDH2,2.88383354415221e-197,-1.02991657445642,0.274,0.577,4.38371537046577e-193,Neutral,IDH2
WDR34,1.22442104721711e-195,-1.47059798536496,0.097,0.298,1.86124243387473e-191,Neutral,WDR34
CTSH,2.6094304048326e-195,-1.50356434310944,0.23,0.495,3.96659515838603e-191,Neutral,CTSH
MGMT,6.36870066926186e-195,-1.22408611286885,0.169,0.421,9.68106188734495e-191,Neutral,MGMT
UNC93B1,2.79988327911376e-194,-1.30839236909387,0.13,0.358,4.25610257258083e-190,Neutral,UNC93B1
UQCRC1,9.62924935791737e-194,-0.988290840395433,0.266,0.56,1.46374219489702e-189,Neutral,UQCRC1
SERPINB6,5.13903494464854e-193,-1.22774647405756,0.192,0.449,7.81184701936025e-189,Neutral,SERPINB6
SERPINB1,1.35319372909614e-192,-0.916027847253342,0.323,0.65,2.05698978759904e-188,Neutral,SERPINB1
C1QB,7.34082020487533e-192,-1.88010363185201,0.113,0.32,1.1158780793431e-187,Neutral,C1QB
NUDT14,1.19265976431299e-191,-1.1212069198244,0.169,0.422,1.81296210773218e-187,Neutral,NUDT14
MRPL23,1.229537158599e-191,-1.01112057805838,0.339,0.635,1.86901943478633e-187,Neutral,MRPL23
ITGB2,1.29629087361915e-190,-1.30043813137281,0.154,0.396,1.97049175698847e-186,Neutral,ITGB2
GSN,8.11244002981553e-190,-0.765527489309289,0.243,0.52,1.23317200893226e-185,Neutral,GSN
