"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,2.15685545384678,0.28,0.068,0,Positive,APOA1
2,0,2.00964131301227,0.418,0.106,0,Positive,SMIM22
3,0,1.99996372257729,0.325,0.077,0,Positive,CTXN1
4,0,1.99980376529267,0.293,0.075,0,Positive,SNCG
5,0,1.96437224484884,0.491,0.143,0,Positive,BCAM
6,0,1.9504957458269,0.435,0.115,0,Positive,FOLR1
7,0,1.94574663992073,0.261,0.067,0,Positive,DEFB1
8,0,1.94196522276473,0.314,0.08,0,Positive,KLK11
9,0,1.93486934630141,0.375,0.09,0,Positive,RAB25
10,0,1.92353014519277,0.293,0.069,0,Positive,CLDN16
11,0,1.90951470161064,0.374,0.099,0,Positive,KLK6
12,0,1.90428408241685,0.363,0.086,0,Positive,AP1M2
13,0,1.89993201916508,0.279,0.071,0,Positive,UCA1
14,0,1.88253686621215,0.423,0.12,0,Positive,S100A1
15,0,1.88169674121024,0.307,0.078,0,Positive,SCGB2A1
16,0,1.88139716261672,0.343,0.083,0,Positive,KLK8
17,0,1.87594301760854,0.394,0.1,0,Positive,MUC16
18,0,1.87360301394578,0.322,0.078,0,Positive,KLK10
19,0,1.86495362889486,0.279,0.067,0,Positive,DHCR24
20,0,1.86471421165378,0.508,0.154,0,Positive,CLDN3
21,0,-2.15685545384678,0.068,0.28,0,Other,APOA1
22,0,-2.00964131301227,0.106,0.418,0,Other,SMIM22
23,0,-1.99996372257729,0.077,0.325,0,Other,CTXN1
24,0,-1.99980376529267,0.075,0.293,0,Other,SNCG
25,0,-1.96437224484884,0.143,0.491,0,Other,BCAM
26,0,-1.9504957458269,0.115,0.435,0,Other,FOLR1
27,0,-1.94574663992073,0.067,0.261,0,Other,DEFB1
28,0,-1.94196522276473,0.08,0.314,0,Other,KLK11
29,0,-1.93486934630141,0.09,0.375,0,Other,RAB25
30,0,-1.92353014519277,0.069,0.293,0,Other,CLDN16
31,0,-1.90951470161064,0.099,0.374,0,Other,KLK6
32,0,-1.90428408241685,0.086,0.363,0,Other,AP1M2
33,0,-1.89993201916508,0.071,0.279,0,Other,UCA1
34,0,-1.88253686621215,0.12,0.423,0,Other,S100A1
35,0,-1.88169674121024,0.078,0.307,0,Other,SCGB2A1
36,0,-1.88139716261672,0.083,0.343,0,Other,KLK8
37,0,-1.87594301760854,0.1,0.394,0,Other,MUC16
38,0,-1.87360301394578,0.078,0.322,0,Other,KLK10
39,0,-1.86495362889486,0.067,0.279,0,Other,DHCR24
40,0,-1.86471421165378,0.154,0.508,0,Other,CLDN3
