"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,9.31705823725289e-12,-3.32715450818696,0.036,0.333,1.41628602264481e-07,Neutral,NELL2
2,2.37589274469683e-07,-3.986759415175,0.016,0.167,0.00361159456121366,Neutral,RPL10P15
3,1.76451346400841e-06,-6.07557081267165,0.008,0.111,0.0268223691663918,Neutral,GDA
4,1.03107593436473e-10,3.32162568732296,0.357,0.036,1.56733852782782e-06,Positive,NELL2
5,2.04195242125803e-09,4.34944298312717,0.214,0.016,3.10397187555433e-05,Positive,RPL10P15
6,1.23640375261062e-07,2.78781544526566,0.714,0.225,0.0018794573443434,Positive,NME4
7,3.92747324566039e-07,4.58672142764773,0.143,0.01,0.00597015208072836,Positive,EEF1DP7
8,9.12255145828232e-07,5.0827895308479,0.214,0.023,0.013867190471735,Positive,RP11-796G6.1
9,2.4361666263679e-06,5.05980472286155,0.143,0.011,0.0370321688874184,Positive,TSPOAP1
10,3.01977094251927e-06,5.06141183027701,0.143,0.011,0.0459035380972354,Positive,ELOVL4
11,4.08157937068017e-27,8.24589298504841,0.5,0.008,6.20440880137092e-23,Negative,GDA
12,3.67786532604812e-09,5.46930208999146,0.5,0.027,5.59072308212576e-05,Negative,AGO4
13,4.60569727166963e-09,7.40153496090534,0.25,0.007,7.001120422665e-05,Negative,KB-1460A1.5
14,5.64416618495393e-09,7.61010726561075,0.25,0.007,8.57969701774847e-05,Negative,TMEM191B
15,2.00469693325912e-08,5.57601738003555,0.5,0.03,0.000304733980824719,Negative,RP11-61K9.3
16,5.11500146467408e-08,7.45450641674057,0.25,0.008,0.000777531372645107,Negative,MRPL40P1
17,5.69947548263058e-08,7.96474122096359,0.25,0.008,0.000866377268114674,Negative,RP11-539I5.1
18,6.70526506662427e-08,7.06631600287146,0.25,0.008,0.00101926734277755,Negative,RP11-16E12.1
19,1.10026210633484e-07,5.26343144043647,0.25,0.008,0.0016725084278396,Negative,TNFRSF17
20,2.1007868815526e-07,6.84453747976092,0.25,0.009,0.0031934061386481,Negative,RP11-19G24.2
21,2.21893850545233e-07,6.89780255398838,0.25,0.009,0.00337300842213808,Negative,RP11-254B13.4
22,2.6906420293428e-07,7.13601678614197,0.25,0.009,0.00409004494880398,Negative,RBM26-AS1
23,2.80864656565895e-07,5.2835191525591,0.25,0.009,0.00426942364445817,Negative,CALCRL
24,6.72803994190847e-07,5.17378457047879,0.25,0.009,0.0102272935156951,Negative,RP11-283I3.6
25,1.23454089706025e-06,6.20582480125504,0.25,0.01,0.0187662561762128,Negative,AP000692.9
26,1.85098728444452e-06,6.01496258718414,0.25,0.01,0.0281368577108411,Negative,RP4-800J21.3
27,1.90053987925685e-06,6.29356490208182,0.25,0.01,0.0288901067045833,Negative,PDE2A
