"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-1.78163634317731,0.112,0.418,0,Neutral,HLA-DMB
2,1.11253692926989e-308,-1.14904393489581,0.231,0.612,1.11253717693552e-308,Neutral,UCP2
3,1.20553817213209e-287,-1.39230686633038,0.574,0.82,1.83253857545798e-283,Neutral,GPX1
4,5.20309707637811e-287,-1.45793321879878,0.236,0.574,7.90922786580236e-283,Neutral,HLA-DMA
5,3.34128066285369e-277,-1.67228890607284,0.119,0.381,5.07908073560389e-273,Neutral,SERPINA1
6,1.81346502665218e-273,-1.73571609744172,0.209,0.517,2.75664818701397e-269,Neutral,HLA-DQA1
7,8.46393281046192e-270,-1.10388173479488,0.32,0.691,1.28660242651832e-265,Neutral,SYNGR2
8,1.04286524079491e-262,-1.53850446198419,0.155,0.432,1.58525945253234e-258,Neutral,MGST2
9,7.23320282245372e-259,-1.34373178959626,0.182,0.479,1.09951916104119e-254,Neutral,GSDMD
10,1.5733176341154e-248,-2.00303632095851,0.063,0.253,2.39160013561881e-244,Neutral,MS4A6A
11,7.41744823237006e-247,-1.59070216846605,0.357,0.663,1.12752630580257e-242,Neutral,HLA-DPA1
12,1.02895864778635e-243,-1.05279573715451,0.369,0.711,1.56412004050003e-239,Neutral,TMEM219
13,8.60712993433169e-243,-1.18167612405708,0.271,0.592,1.30836982131776e-238,Neutral,SLC25A39
14,3.27183229008199e-240,-1.17989913681899,0.285,0.606,4.97351226415363e-236,Neutral,LSM4
15,4.44911125282654e-240,-1.63638083180772,0.11,0.346,6.76309401542162e-236,Neutral,SPI1
16,1.61450298281509e-238,-1.46013572329809,0.331,0.661,2.45420598417722e-234,Neutral,GRN
17,3.73577879579827e-238,-1.86391594342807,0.204,0.478,5.67875734749295e-234,Neutral,HLA-DRB5
18,1.9056471060221e-237,-1.22276966079749,0.281,0.606,2.89677416586419e-233,Neutral,CTSZ
19,9.4497956231156e-234,-2.06495865001463,0.081,0.283,1.4364634326698e-229,Neutral,ASRGL1
20,2.00002053540554e-232,-1.52350480147664,0.396,0.696,3.04023121586996e-228,Neutral,HLA-DRA
21,0,1.7996055927121,0.423,0.112,0,Negative,HLA-DMB
22,0,1.1670131844306,0.619,0.231,0,Negative,UCP2
23,3.87674575211995e-294,1.47543129960834,0.58,0.236,5.89304121779754e-290,Negative,HLA-DMA
24,2.23901751552949e-290,1.4052018668947,0.821,0.574,3.40353052535638e-286,Negative,GPX1
25,8.81304181672858e-284,1.69025815560763,0.386,0.119,1.33967048656091e-279,Negative,SERPINA1
26,2.95937633218488e-281,1.75368534697651,0.523,0.209,4.49854796255423e-277,Negative,HLA-DQA1
27,1.00876882072879e-276,1.12019433343691,0.697,0.32,1.53342948438983e-272,Negative,SYNGR2
28,9.1519328704808e-268,1.55398208999902,0.436,0.155,1.39118531564179e-263,Negative,MGST2
29,1.30693613868109e-258,1.34966864980953,0.481,0.183,1.98667362440913e-254,Negative,GSDMD
30,1.89089356789896e-255,1.60863652617759,0.671,0.356,2.8743473125632e-251,Negative,HLA-DPA1
31,1.09129595961129e-253,2.02100557049331,0.256,0.063,1.65887898820512e-249,Negative,MS4A6A
32,7.35777188285325e-246,1.65435008134251,0.351,0.11,1.11845490391252e-241,Negative,SPI1
33,1.15276499717686e-245,1.19397673374625,0.595,0.271,1.75231807220854e-241,Negative,SLC25A39
34,2.4345848321961e-245,1.19516446440725,0.611,0.285,3.7008124034213e-241,Negative,LSM4
35,3.83675959468124e-245,1.88188519296286,0.483,0.204,5.83225825987495e-241,Negative,HLA-DRB5
36,3.96334913297735e-242,1.05533247953508,0.711,0.369,6.02468701703887e-238,Negative,TMEM219
37,1.44553636876817e-241,1.54147405101143,0.705,0.396,2.19735983416449e-237,Negative,HLA-DRA
38,5.76653436983045e-239,2.08292789954943,0.286,0.081,8.76570889557926e-235,Negative,ASRGL1
39,9.41717302453126e-236,1.22836226882832,0.607,0.281,1.431504471459e-231,Negative,CTSZ
40,1.62498811077676e-234,1.73177839345721,0.35,0.116,2.47014442719175e-230,Negative,AIF1
41,1.73062623406093e-115,6.44480345298585,0.923,0.043,2.63072493839602e-111,Positive,COL11A1
42,1.1085226578062e-105,6.2216830092658,0.462,0.011,1.6850652921312e-101,Positive,LRRC17
43,2.49607862491156e-100,6.30427374496083,0.577,0.018,3.79428911772806e-96,Positive,ITGA11
44,1.32003252029864e-79,5.36578275542843,0.731,0.038,2.00658143410596e-75,Positive,COL10A1
45,4.70585687070474e-70,5.57198841421026,0.962,0.078,7.15337302915828e-66,Positive,POSTN
46,4.20148654206875e-68,4.42484554450171,0.923,0.07,6.38667969259871e-64,Positive,ISLR
47,1.04885475330267e-67,5.69877210315268,0.346,0.01,1.59436411049539e-63,Positive,CNTN1
48,3.08961209867213e-63,7.35246858464284,0.346,0.011,4.6965193511915e-59,Positive,ACTG2
49,1.98860337478717e-62,4.41752617441998,0.923,0.078,3.02287599001397e-58,Positive,ANTXR1
50,9.90546511149304e-62,5.0944310473802,1,0.099,1.50572975159806e-57,Positive,THBS2
51,7.0760987604305e-61,5.19559416323373,0.962,0.09,1.07563777257304e-56,Positive,COL5A1
52,1.25204787143772e-58,5.19403416349639,0.885,0.078,1.90323796937248e-54,Positive,COL8A1
53,5.92167372494305e-58,5.03802767274625,0.462,0.02,9.00153622928593e-54,Positive,EDIL3
54,2.62607691703022e-57,4.74793813991994,0.846,0.073,3.99189952157763e-53,Positive,SULF1
55,6.5004807576156e-54,4.17224955350089,0.808,0.067,9.88138079965148e-50,Positive,CDH11
56,9.05890982309937e-54,4.78998554813699,0.885,0.082,1.37704488220933e-49,Positive,MMP11
57,1.12285532171048e-52,4.42360344279354,0.769,0.062,1.7068523745321e-48,Positive,GLT8D2
58,2.98973452599005e-52,5.37261579787942,0.308,0.01,4.54469545295747e-48,Positive,TNFRSF19
59,6.78541642724114e-52,5.48707992291601,0.538,0.031,1.03145115110493e-47,Positive,COMP
60,2.98368560157783e-51,5.05955365930228,0.615,0.041,4.53550048295847e-47,Positive,PODNL1
