"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A13,0,1.57621975596668,0.689,0.309,0
MDK,0,1.40252376015165,0.653,0.287,0
S100A16,0,1.21910784816546,0.645,0.282,0
TM4SF1,0,1.23850915457835,0.681,0.327,0
BEX3,0,1.25026834798797,0.606,0.252,0
PHPT1,0,0.956485643372896,0.707,0.354,0
KRT8,0,1.50262242502532,0.608,0.258,0
LGALS3BP,0,0.996345897670772,0.65,0.304,0
LAPTM4B,0,1.5303218062384,0.565,0.224,0
KRT19,0,1.70785068513889,0.555,0.216,0
KRT18,0,1.54497516206994,0.599,0.262,0
DUSP23,0,0.97504482826388,0.572,0.243,0
PCBD1,0,1.24879662728107,0.565,0.237,0
CD9,0,1.3004168176856,0.669,0.342,0
CRIP2,0,1.5510888477777,0.501,0.174,0
KRT7,0,1.64866638060695,0.509,0.188,0
GIPC1,0,1.32165282967267,0.517,0.197,0
IGFBP2,0,1.58278580537508,0.549,0.23,0
PDLIM1,0,1.23285934854113,0.526,0.208,0
CLDN4,0,1.62967937245757,0.503,0.185,0
CLU,0,1.30536156920569,0.574,0.256,0
NME4,0,1.14205149549623,0.519,0.204,0
PRDX5,0,1.07782298953531,0.796,0.482,0
WFDC2,0,1.61944276048112,0.55,0.244,0
TACSTD2,0,1.6022716960029,0.501,0.195,0
SPINT2,0,1.45572344045548,0.579,0.275,0
TPM1,0,1.07445828876633,0.516,0.213,0
CD24,0,1.68769588441034,0.512,0.214,0
SLPI,0,1.67987676837506,0.573,0.286,0
GSTP1,0,1.09968806962674,0.854,0.575,0
CYC1,1.1125369292536e-308,1.05835663436954,0.726,0.391,1.11253692929866e-308
MFGE8,1.11253692925364e-308,1.25584382707562,0.528,0.225,1.11253692978683e-308
NECTIN2,1.11253692925364e-308,0.982612216193159,0.628,0.294,1.11253692982438e-308
TNFRSF12A,1.11253692934096e-308,0.921908498083494,0.708,0.369,1.11253825722341e-308
CD151,1.1125369375666e-308,1.02788019136069,0.605,0.279,1.11266329512667e-308
FIS1,1.11253817641757e-308,0.956020381118316,0.72,0.377,1.13149506868859e-308
ECHS1,1.11254063363195e-308,0.904789924373276,0.543,0.232,1.16884718451118e-308
NME1,1.11267898333965e-308,0.88790176368634,0.632,0.293,4.31872832414759e-308
