"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
S100A13,0,-1.57621975596668,0.309,0.689,0,Other,S100A13
MDK,0,-1.40252376015165,0.287,0.653,0,Other,MDK
S100A16,0,-1.21910784816546,0.282,0.645,0,Other,S100A16
TM4SF1,0,-1.23850915457835,0.327,0.681,0,Other,TM4SF1
BEX3,0,-1.25026834798797,0.252,0.606,0,Other,BEX3
PHPT1,0,-0.956485643372896,0.354,0.707,0,Other,PHPT1
KRT8,0,-1.50262242502532,0.258,0.608,0,Other,KRT8
LGALS3BP,0,-0.996345897670772,0.304,0.65,0,Other,LGALS3BP
LAPTM4B,0,-1.5303218062384,0.224,0.565,0,Other,LAPTM4B
KRT19,0,-1.70785068513889,0.216,0.555,0,Other,KRT19
KRT18,0,-1.54497516206994,0.262,0.599,0,Other,KRT18
DUSP23,0,-0.97504482826388,0.243,0.572,0,Other,DUSP23
PCBD1,0,-1.24879662728107,0.237,0.565,0,Other,PCBD1
CD9,0,-1.3004168176856,0.342,0.669,0,Other,CD9
CRIP2,0,-1.5510888477777,0.174,0.501,0,Other,CRIP2
ASS1,0,-1.6493995016849,0.151,0.477,0,Other,ASS1
KRT7,0,-1.64866638060695,0.188,0.509,0,Other,KRT7
GIPC1,0,-1.32165282967267,0.197,0.517,0,Other,GIPC1
IGFBP2,0,-1.58278580537508,0.23,0.549,0,Other,IGFBP2
PDLIM1,0,-1.23285934854113,0.208,0.526,0,Other,PDLIM1
CLDN4,0,-1.62967937245757,0.185,0.503,0,Other,CLDN4
EPCAM,0,-1.6720578914598,0.16,0.478,0,Other,EPCAM
DSP,0,-1.53328431255203,0.158,0.476,0,Other,DSP
CLU,0,-1.30536156920569,0.256,0.574,0,Other,CLU
CTTN,0,-1.22154405355587,0.183,0.499,0,Other,CTTN
MSLN,0,-1.68331067925773,0.153,0.469,0,Other,MSLN
NME4,0,-1.14205149549623,0.204,0.519,0,Other,NME4
PRDX5,0,-1.07782298953531,0.482,0.796,0,Other,PRDX5
C19orf33,0,-1.61654174874065,0.166,0.48,0,Other,C19orf33
BCAM,0,-1.71959733920866,0.146,0.456,0,Other,BCAM
CLDN3,0,-1.70619765245129,0.157,0.466,0,Other,CLDN3
WFDC2,0,-1.61944276048112,0.244,0.55,0,Other,WFDC2
TACSTD2,0,-1.6022716960029,0.195,0.501,0,Other,TACSTD2
ELF3,0,-1.57703392980024,0.15,0.455,0,Other,ELF3
SPINT2,0,-1.45572344045548,0.275,0.579,0,Other,SPINT2
TPM1,0,-1.07445828876633,0.213,0.516,0,Other,TPM1
CRABP2,0,-1.52406657821173,0.184,0.487,0,Other,CRABP2
SLC39A4,0,-1.51561065033879,0.156,0.456,0,Other,SLC39A4
CD24,0,-1.68769588441034,0.214,0.512,0,Other,CD24
DMKN,0,-1.41447596987456,0.155,0.453,0,Other,DMKN
CLDN7,0,-1.66413276797246,0.131,0.428,0,Other,CLDN7
ARHGAP29,0,-1.48174509962354,0.141,0.435,0,Other,ARHGAP29
MAL2,0,-1.49178511340353,0.15,0.444,0,Other,MAL2
CITED4,0,-1.29353832296022,0.18,0.472,0,Other,CITED4
TMEM141,0,-1.14826336214312,0.186,0.478,0,Other,TMEM141
KLF5,0,-1.15743111132679,0.171,0.462,0,Other,KLF5
SLPI,0,-1.67987676837506,0.286,0.573,0,Other,SLPI
C6orf132,0,-1.54737669539608,0.128,0.414,0,Other,C6orf132
GSTP1,0,-1.09968806962674,0.575,0.854,0,Other,GSTP1
NUDT14,0,-1.15175538125519,0.161,0.44,0,Other,NUDT14
S100A2,0,-1.65520057282341,0.151,0.429,0,Other,S100A2
PAFAH1B3,0,-1.21443438515358,0.151,0.425,0,Other,PAFAH1B3
MUC1,0,-1.63341313858336,0.131,0.401,0,Other,MUC1
