"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CTSB,0,2.84777710798788,0.814,0.246,0,Positive,CTSB
PLAUR,0,2.34681560164923,0.803,0.236,0,Positive,PLAUR
NPC2,0,2.36518276829337,0.935,0.412,0,Positive,NPC2
IFITM3,0,1.45886382285161,0.797,0.274,0,Positive,IFITM3
CST3,0,1.836227182848,0.818,0.306,0,Positive,CST3
GRN,0,2.71711378315419,0.684,0.178,0,Positive,GRN
RAB13,0,1.82669281959461,0.694,0.194,0,Positive,RAB13
GPX1,0,1.70432766510167,0.917,0.421,0,Positive,GPX1
IER3,0,1.32195574275612,0.792,0.296,0,Positive,IER3
TPM4,0,1.54041973840105,0.817,0.321,0,Positive,TPM4
CREG1,0,2.73796885505001,0.641,0.154,0,Positive,CREG1
PSAP,0,2.13592804069703,0.902,0.422,0,Positive,PSAP
BRI3,0,1.27648050117604,0.858,0.386,0,Positive,BRI3
CSTB,0,1.98193420638778,0.882,0.416,0,Positive,CSTB
ATOX1,0,1.53865498912248,0.689,0.223,0,Positive,ATOX1
SOD2,0,2.39047783662626,0.889,0.429,0,Positive,SOD2
IFI6,0,1.76292599282746,0.722,0.268,0,Positive,IFI6
ICAM1,0,1.80919395174354,0.617,0.163,0,Positive,ICAM1
ETS2,0,2.07327052343692,0.611,0.158,0,Positive,ETS2
IFI27,0,2.72260835969696,0.658,0.211,0,Positive,IFI27
CTSD,0,2.36124762021616,0.74,0.295,0,Positive,CTSD
LGALS3,0,1.33446136393915,0.906,0.461,0,Positive,LGALS3
MARCKS,0,1.86099470684418,0.626,0.183,0,Positive,MARCKS
TSPO,0,1.20667036474099,0.771,0.328,0,Positive,TSPO
ANXA5,0,1.54340666403527,0.784,0.342,0,Positive,ANXA5
H2AFY,0,1.19788662716365,0.698,0.259,0,Positive,H2AFY
GSTP1,0,1.18941525593166,0.885,0.45,0,Positive,GSTP1
PLD3,0,2.50176363738249,0.576,0.141,0,Positive,PLD3
CXCL8,0,2.0285778027321,0.72,0.288,0,Positive,CXCL8
TYMP,0,1.98581055912711,0.646,0.216,0,Positive,TYMP
NECTIN2,0,1.85134873921947,0.604,0.175,0,Positive,NECTIN2
CAPG,0,2.28123819170552,0.597,0.169,0,Positive,CAPG
CXCL16,0,2.78108613586018,0.52,0.093,0,Positive,CXCL16
ZFAND5,0,1.05447627358369,0.828,0.401,0,Positive,ZFAND5
APLP2,0,1.40635069497304,0.668,0.242,0,Positive,APLP2
