"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-10.0365799748218,0.002,0.534,0,Negative,PTPRC
2,0,-8.38027362689031,0.007,0.306,0,Negative,CD3E
3,0,-7.8695129016908,0.014,0.308,0,Negative,NKG7
4,0,-7.86635775731875,0.016,0.422,0,Negative,CD2
5,0,-7.81996330804464,0.009,0.397,0,Negative,CD48
6,0,-7.724951730838,0.014,0.285,0,Negative,TRBC1
7,0,-7.7004954720893,0.014,0.442,0,Negative,CYTIP
8,0,-7.54039134132151,0.014,0.453,0,Negative,CD53
9,0,-7.41453434421322,0.011,0.324,0,Negative,IL2RG
10,0,-7.38953826907837,0.022,0.447,0,Negative,CD52
11,0,-7.38329872003693,0.016,0.481,0,Negative,CD37
12,0,-7.35102788901352,0.034,0.478,0,Negative,RGS1
13,0,-7.34721783871651,0.024,0.391,0,Negative,TRBC2
14,0,-7.2469540203019,0.016,0.459,0,Negative,SAMSN1
15,0,-7.20068025637488,0.011,0.274,0,Negative,PCED1B-AS1
16,0,-7.16965665192275,0.032,0.43,0,Negative,CD3D
17,0,-7.04562346713034,0.02,0.475,0,Negative,EVI2B
18,0,-7.03722304868796,0.059,0.777,0,Negative,LAPTM5
19,0,-6.8855917852562,0.085,0.724,0,Negative,CXCR4
20,0,-6.83456065810857,0.061,0.284,0,Negative,CCL4
21,0,-3.57976906421553,0.147,0.376,0,Neutral,APOE
22,0,-3.23145774110438,0.067,0.255,0,Neutral,COL1A1
23,0,-3.18113549021321,0.043,0.331,0,Neutral,GSN
24,0,-3.16948163436019,0.053,0.265,0,Neutral,C11orf96
25,0,-3.166650624768,0.03,0.278,0,Neutral,GPNMB
26,0,-3.16481999213747,0.073,0.297,0,Neutral,SPARC
27,0,-3.10199809825948,0.044,0.328,0,Neutral,MAFB
28,0,-3.09507515065804,0.038,0.274,0,Neutral,PMP22
29,0,-3.07699800243223,0.038,0.281,0,Neutral,PLTP
30,0,-3.01984229490775,0.051,0.349,0,Neutral,SERPING1
31,0,-2.90810823185114,0.047,0.281,0,Neutral,SEPP1
32,0,-2.89459234761056,0.037,0.25,0,Neutral,TIMP3
33,0,-2.84355281333577,0.05,0.258,0,Neutral,CTGF
34,0,-2.84004662272132,0.045,0.269,0,Neutral,FN1
35,0,-2.79659004121924,0.064,0.389,0,Neutral,FCGRT
36,0,-2.78397338984137,0.054,0.275,0,Neutral,RARRES2
37,0,-2.76877661925244,0.065,0.359,0,Neutral,RND3
38,0,-2.75439191747413,0.16,0.587,0,Neutral,CST3
39,0,-2.73464969228674,0.042,0.278,0,Neutral,GPRC5A
40,0,-2.7124687548875,0.08,0.384,0,Neutral,CTSL
41,0,-6.5333452458131,0.017,0.273,0,Positive,DCN
42,0,6.04558683922398,0.251,0.031,0,Positive,C1QA
43,0,-5.61592511310644,0.016,0.255,0,Positive,FBLN1
44,0,5.52121832766286,0.256,0.019,0,Positive,AIF1
45,0,-5.46431106273431,0.036,0.28,0,Positive,LUM
46,0,-5.25550099142,0.011,0.25,0,Positive,AEBP1
47,0,5.24046432734754,0.279,0.037,0,Positive,LYZ
48,0,-5.22105062033776,0.023,0.314,0,Positive,COL6A2
49,0,-5.17550108995678,0.013,0.259,0,Positive,MEG3
50,0,-5.09061098644814,0.019,0.309,0,Positive,C1S
51,0,-5.05896982837823,0.023,0.33,0,Positive,C1R
52,0,-5.01878305652335,0.017,0.265,0,Positive,BGN
53,0,-5.0133929537899,0.05,0.339,0,Positive,C11orf96
54,0,-5.01276377025503,0.06,0.325,0,Positive,COL1A1
55,0,-5.00397658698089,0.035,0.261,0,Positive,COL3A1
56,0,-4.98811386058489,0.021,0.285,0,Positive,CCDC80
57,0,-4.90792951174135,0.035,0.28,0,Positive,COL1A2
58,0,-4.90109822398977,0.015,0.305,0,Positive,ID4
59,0,-4.80283871596556,0.025,0.296,0,Positive,COL6A1
60,0,-4.79298922672276,0.023,0.334,0,Positive,TIMP3
