"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-3.69984301212626,0.045,0.343,0,Neutral,UPK1B
2,0,-3.23118178885207,0.052,0.315,0,Neutral,LYPD1
3,0,-3.22243089020541,0.041,0.278,0,Neutral,LEMD1
4,0,-3.11391741531934,0.066,0.363,0,Neutral,UCA1
5,0,-3.05848446343246,0.041,0.283,0,Neutral,AQP5
6,0,-2.99139787776767,0.051,0.286,0,Neutral,LYPD6B
7,0,-2.98285243404289,0.076,0.34,0,Neutral,SCGB2A1
8,0,-2.97433498591335,0.053,0.317,0,Neutral,WNT7A
9,0,-2.96952103310648,0.119,0.449,0,Neutral,S100A1
10,0,-2.94037524642802,0.05,0.313,0,Neutral,DCDC2
11,0,-2.92330614111371,0.053,0.295,0,Neutral,LINC00176
12,0,-2.88281847106837,0.066,0.281,0,Neutral,SCGB1D2
13,0,-2.82079594692259,0.051,0.294,0,Neutral,TRIM29
14,0,-2.73121252072593,0.054,0.286,0,Neutral,ITGB4
15,0,-2.71037926825125,0.078,0.362,0,Neutral,KLK11
16,0,-2.70441194531014,0.066,0.318,0,Neutral,APOA1
17,0,-2.69262577394207,0.06,0.326,0,Neutral,KRT23
18,0,-2.6917316349662,0.047,0.268,0,Neutral,TMPRSS4
19,0,-2.64442496598348,0.078,0.344,0,Neutral,CAMK2N1
20,0,-2.5819142509979,0.078,0.356,0,Neutral,CAPS
21,0,4.6297276077654,0.268,0.011,0,Negative,RP11-369C8.1
22,0,4.51624684562923,0.582,0.044,0,Negative,UPK1B
23,0,4.44823028033388,0.347,0.018,0,Negative,SMIM5
24,0,-4.39014983758128,0.141,0.703,0,Negative,SRGN
25,0,-4.18819024779214,0.094,0.588,0,Negative,LAPTM5
26,0,4.10266084995548,0.354,0.022,0,Negative,RP11-469H8.6
27,0,4.02168560735872,0.531,0.051,0,Negative,LYPD1
28,0,4.01324357826915,0.367,0.024,0,Negative,WBSCR27
29,0,4.00994051863015,0.471,0.04,0,Negative,LEMD1
30,0,3.92810988058433,0.615,0.064,0,Negative,UCA1
31,0,3.87188923186171,0.361,0.031,0,Negative,ST6GALNAC1
32,0,3.82397065450375,0.476,0.04,0,Negative,AQP5
33,0,3.78998959140431,0.568,0.075,0,Negative,SCGB2A1
34,0,3.78354673851942,0.367,0.029,0,Negative,TM4SF1-AS1
35,0,3.77497249600631,0.482,0.05,0,Negative,LYPD6B
36,0,3.76791916873703,0.537,0.052,0,Negative,WNT7A
37,0,3.76319893231645,0.731,0.117,0,Negative,S100A1
38,0,3.76042887103362,0.28,0.02,0,Negative,PPP1R3G
39,0,3.74500270251051,0.272,0.028,0,Negative,RP11-554I8.2
40,0,3.73106798695874,0.528,0.049,0,Negative,DCDC2
41,5.99908015029736e-263,3.13481419402391,0.255,0.048,9.11920173646702e-259,Positive,NUSAP1
42,6.23974839423732e-191,1.48766127153886,0.618,0.285,9.48504153408014e-187,Positive,GMFG
43,1.48520917545008e-155,1.84780222623272,0.565,0.299,2.25766646760167e-151,Positive,PSMB9
44,1.066943694865e-143,0.981767821926824,0.812,0.542,1.62186111056428e-139,Positive,ARHGDIB
45,2.00180227960894e-143,1.47842930727341,0.536,0.26,3.04293964523355e-139,Positive,LSP1
46,2.65582381450117e-139,2.05735953560448,0.329,0.115,4.03711778042323e-135,Positive,GZMA
47,3.3597887645419e-124,1.39809219599336,0.545,0.283,5.10721490098014e-120,Positive,CORO1A
48,3.44455189165443e-123,0.85080711200598,0.869,0.67,5.2360633305039e-119,Positive,CD74
49,1.64370730257363e-112,1.54455856578147,0.681,0.465,2.49859947064217e-108,Positive,ISG15
50,2.94503652183684e-112,1.72842219564808,0.642,0.437,4.47675001684418e-108,Positive,HMGB2
51,1.57475393934425e-107,1.35844771068443,0.379,0.159,2.39378346319719e-103,Positive,FYB
52,1.08477217002335e-106,1.31296406000029,0.467,0.227,1.6489621756525e-102,Positive,IL2RG
53,8.13523306361373e-106,1.37681788718562,0.536,0.298,1.23663677799992e-101,Positive,CD2
54,4.03423456973379e-103,1.52610184529128,0.317,0.123,6.13243996945233e-99,Positive,CD3G
55,1.92503949017077e-101,0.759016500123515,0.666,0.409,2.92625252900859e-97,Positive,HLA-DPB1
56,1.43331096318548e-99,1.27068629839633,0.534,0.308,2.17877599513825e-95,Positive,CD3D
57,1.62754832176053e-99,1.26871073335588,0.501,0.267,2.47403620390818e-95,Positive,TRAC
58,1.50117889879392e-98,0.893849747991122,0.616,0.363,2.28194204405664e-94,Positive,HLA-DPA1
59,1.19068722430386e-97,1.3832321663651,0.577,0.34,1.8099636496643e-93,Positive,CCL5
60,7.95268032999977e-96,1.15201846262866,0.475,0.242,1.20888693696326e-91,Positive,LCP1
