"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CTSB,0,2.86936047630769,0.814,0.245,0
PLAUR,0,2.35941714638798,0.803,0.236,0
NPC2,0,2.37407351189577,0.935,0.412,0
IFITM3,0,1.45748696807118,0.797,0.274,0
CST3,0,1.84216502241892,0.818,0.305,0
GRN,0,2.73231652246841,0.684,0.177,0
RAB13,0,1.82939381897407,0.694,0.193,0
GPX1,0,1.70654708563696,0.917,0.42,0
IER3,0,1.32937473003492,0.792,0.295,0
TPM4,0,1.54218339822239,0.817,0.321,0
CREG1,0,2.75954708276889,0.641,0.153,0
PSAP,0,2.15130526556493,0.902,0.42,0
BRI3,0,1.28326212785423,0.858,0.385,0
CSTB,0,2.00575373247636,0.882,0.413,0
ATOX1,0,1.54841519857376,0.689,0.222,0
SOD2,0,2.40646293901951,0.889,0.429,0
IFI6,0,1.78296327735586,0.722,0.266,0
ICAM1,0,1.8209673350578,0.617,0.162,0
ETS2,0,2.08439481091544,0.611,0.158,0
IFI27,0,2.73458286920632,0.658,0.211,0
CTSD,0,2.3826544367797,0.74,0.294,0
LGALS3,0,1.34291764559932,0.906,0.46,0
MARCKS,0,1.87514744467933,0.626,0.182,0
ANXA5,0,1.55638007498293,0.784,0.341,0
TSPO,0,1.20746515874321,0.771,0.328,0
H2AFY,0,1.20739746602372,0.698,0.258,0
GSTP1,0,1.19041935586272,0.885,0.449,0
PLD3,0,2.51517622758448,0.576,0.141,0
CXCL8,0,2.05392291725727,0.72,0.287,0
TYMP,0,2.01443829031794,0.646,0.214,0
NECTIN2,0,1.8501993128082,0.604,0.175,0
CXCL16,0,2.81437157531097,0.52,0.092,0
CAPG,0,2.28517123878758,0.597,0.169,0
APLP2,0,1.41695213144703,0.668,0.241,0
AP2S1,0,1.10414626327189,0.733,0.306,0
RHEB,0,1.11011058591504,0.825,0.398,0
ZFAND5,0,1.05305998660402,0.828,0.401,0
RHOC,0,1.21891075343209,0.713,0.288,0
CTSL,0,3.30294351084495,0.584,0.166,0
FCGRT,0,2.40619180297636,0.583,0.165,0
TSC22D1,0,1.18503775414783,0.644,0.227,0
ATP6V0B,0,0.963159348978758,0.861,0.445,0
ASAH1,0,1.8443008857039,0.603,0.187,0
PKM,0,1.28388157552106,0.867,0.454,0
CD63,0,1.43860377694234,0.964,0.552,0
CD9,0,1.51046656138114,0.638,0.228,0
GRINA,0,1.52370978716719,0.591,0.184,0
CTSZ,0,2.55177999343764,0.567,0.16,0
PDXK,0,1.35427844428991,0.594,0.189,0
EMP1,0,0.791188588300934,0.644,0.241,0
RIPK2,0,1.40130211083573,0.602,0.199,0
HIF1A,0,1.4216386265912,0.66,0.258,0
MAP2K3,0,0.918703405265516,0.691,0.291,0
MAP3K8,0,1.12060881802277,0.689,0.291,0
CHMP4B,0,0.894404243071081,0.824,0.426,0
TALDO1,0,1.25836739059055,0.644,0.247,0
TUBA1C,0,0.922914962880784,0.724,0.327,0
ABL2,0,1.46773189928733,0.56,0.165,0
ISG15,0,1.51953861337624,0.733,0.338,0
PTMS,0,1.30849211131611,0.626,0.232,0
NENF,0,0.847014052050602,0.685,0.292,0
NINJ1,0,1.36550876473936,0.702,0.309,0
BST2,0,1.26410522853821,0.72,0.327,0
ANAPC11,0,0.709360445949192,0.737,0.345,0
ANXA2,0,0.698692040811035,0.934,0.544,0
IFNGR2,0,1.66001924851782,0.542,0.152,0
RAB1A,0,0.744058428304198,0.738,0.349,0
FKBP1A,0,1.00439883220285,0.733,0.344,0
MAFB,0,1.52796278056298,0.513,0.125,0
DBI,0,0.811179201444118,0.825,0.437,0
CD81,0,1.70084933600714,0.575,0.187,0
SSR3,0,0.879560481713844,0.74,0.353,0
TNFRSF12A,0,1.00577269474174,0.65,0.264,0
PSME2,0,1.02134728524077,0.739,0.354,0
HSBP1,0,0.885622413764339,0.649,0.264,0
MGST3,0,0.7507089594014,0.732,0.348,0
ARPC1B,0,0.886414877494548,0.785,0.401,0
CANX,0,0.81739070993628,0.648,0.265,0
NRP2,0,2.19793980818327,0.512,0.13,0
PLSCR1,0,1.28252203716708,0.543,0.161,0
UBE2D1,0,1.37979497146739,0.601,0.221,0
LGALS3BP,0,1.28678634901889,0.581,0.203,0
FABP5,0,1.65992393743188,0.627,0.251,0
