gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
HERC5,-0.77359397421272,0.174358855645315,6.20072568887298e-06,0.461351997993464,0.327804681474667,0.649306364677436,0.0585703688376664,TRUE,protective,0.77359397421272
SH2D1B,-0.927283820591179,0.215064329235088,1.20825928494412e-05,0.395626845789783,0.259548964609604,0.603048451166047,0.0585703688376664,TRUE,protective,0.927283820591179
RPS6KA5,-1.24101969088057,0.305510258681427,9.08310068064448e-05,0.289089285886355,0.158846047920009,0.526123352192986,0.137967984002773,TRUE,protective,1.24101969088057
PLAUR,0.897866063690593,0.240052705829583,0.000108535170756275,2.45436007091789,1.53320874806606,3.92893881235311,0.137967984002773,TRUE,risk,0.897866063690593
ACACB,-0.947257679426577,0.246392135918831,0.000116388664934203,0.387803046858459,0.239264351320477,0.628556666811038,0.137967984002773,TRUE,protective,0.947257679426577
ALG10B,-0.808723206655737,0.216698531972881,0.000117368203464944,0.445426420799496,0.291285227297307,0.681135456772556,0.137967984002773,TRUE,protective,0.808723206655737
TMEM116,-1.34941526457071,0.356544983955474,0.00012290004306786,0.259391891938765,0.128961233779167,0.521739375716495,0.137967984002773,TRUE,protective,1.34941526457071
FGGY,-0.869785156571251,0.227734706810238,0.000125843832001872,0.419041567904571,0.268167047275482,0.654800197921169,0.137967984002773,TRUE,protective,0.869785156571252
DDX6,-1.46722712521775,0.377319021865052,0.000152564271081016,0.230563924513478,0.110055289453265,0.483027426951898,0.137967984002773,TRUE,protective,1.46722712521775
MXD1,0.920895006497576,0.248188381239258,0.000165661372275304,2.51153722645625,1.54410704562694,4.08509193565298,0.137967984002773,TRUE,risk,0.920895006497576
CAMTA1,-1.37617070718023,0.374259164127914,0.000169257080937785,0.25254376787222,0.121272079245636,0.525911282199716,0.137967984002773,TRUE,protective,1.37617070718023
SPHK1,0.897555643950373,0.238237620314223,0.000193122047100438,2.45359830734161,1.53819539539547,3.91377107993606,0.137967984002773,TRUE,risk,0.897555643950373
DNAJA1,1.34348085596689,0.364534503554119,0.000198429730866507,3.83236020905772,1.87572120662775,7.83004676818352,0.137967984002773,TRUE,risk,1.34348085596689
MRPL55,-1.206830836241,0.319476021166378,0.00019923174585238,0.299143814511009,0.159932434433367,0.559530167081151,0.137967984002773,TRUE,protective,1.206830836241
MRPS12,1.0069037067201,0.275937007001803,0.000217826215862967,2.73711297655431,1.59371405030141,4.70083541335734,0.140648634714199,TRUE,risk,1.0069037067201
ZRANB2,-2.23283484752482,0.611034264867976,0.000236232910377281,0.107224035092397,0.0323719812463435,0.35515261219281,0.140648634714199,TRUE,protective,2.23283484752482
CHST10,-1.2476258945959,0.348842114919599,0.000263653670949255,0.287185797510513,0.144951447155578,0.56898833306043,0.140648634714199,TRUE,protective,1.2476258945959
GATAD2B,-1.25557015408421,0.350612251575669,0.000308379201500808,0.284913357392087,0.143306416684247,0.566447916978407,0.140648634714199,TRUE,protective,1.25557015408421
HERC1,-1.71518697189083,0.483368012352657,0.000319696834852818,0.179930075701403,0.0697674105295476,0.464039469089963,0.140648634714199,TRUE,protective,1.71518697189083
TNFRSF21,0.70476565685431,0.201538493833065,0.000326894142294647,2.02337246589097,1.36308458526204,3.00350849829225,0.140648634714199,TRUE,risk,0.70476565685431
DNAJB1,1.31112655160537,0.375687784431526,0.000327889581936951,3.7103512608257,1.77673692564616,7.74830886891386,0.140648634714199,TRUE,risk,1.31112655160537
SMYD4,-1.1397240553227,0.325541187712532,0.000346145638000686,0.319907286350576,0.169012131393941,0.605522639210137,0.140648634714199,TRUE,protective,1.1397240553227
SURF4,1.86536979171314,0.521212849308583,0.00034656390733397,6.45832367904823,2.32516872678942,17.9384593740635,0.140648634714199,TRUE,risk,1.86536979171314
FAM184B,-0.480496456154477,0.139916134986833,0.000348176094186775,0.618476269225746,0.470136556502315,0.813620830596938,0.140648634714199,TRUE,protective,0.480496456154477
MMP14,0.874823986513665,0.251600574902646,0.000374802797937324,2.39845309672062,1.46475334001716,3.9273351355535,0.145348525040094,TRUE,risk,0.874823986513665
