gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDC20,0.605727580664711,13.6219100058254,7.86467179616017,4.41686430067655e-14,5.13239631738615e-10,21.0467997258389
TPX2,0.946413480417669,10.6389266837606,6.58200406644648,1.65437090567846e-10,9.61189496199183e-07,13.3711579950409
HJURP,0.673984523348946,12.4019677790901,6.28457146283701,9.56257372822907e-10,3.70390355740073e-06,11.7395063352631
KIFC1,1.24957030339314,10.9623526710366,5.87565603296841,9.64303691191071e-09,2.24104177832805e-05,9.59457998277421
NCAPG,0.7328197070403,11.6550640636592,5.6925363054335,2.61049409214309e-08,4.51705550881233e-05,8.67211756721061
CENPA,0.894376331249736,8.59168371503662,5.67299441790645,2.89900109638051e-08,4.51705550881233e-05,8.57509573346406
TCF19,0.827775923154949,9.61567052973521,5.63418026599686,3.56704569891794e-08,4.51705550881233e-05,8.38320939242783
NUF2,0.626832299169809,10.3509217965577,5.61802576895643,3.88731110913282e-08,4.51705550881233e-05,8.30366781353845
CDKN3,0.682865748433779,10.3605543217408,5.55213081356169,5.5092491780033e-08,5.33478962069986e-05,7.98118069831336
PRAME,1.33352279548466,11.0043777386113,5.42416596963676,1.07440405225683e-07,8.91755363373168e-05,7.36401144435876
PRR11,0.846635627906463,10.2963950296282,5.39732316245866,1.23406598722496e-07,9.5598978477027e-05,7.23608228844803
CEP55,0.851455846499231,11.4296304080986,5.33210136214173,1.72406880735786e-07,0.00011784517377352,6.92747407611182
MKI67,0.939840399407521,11.9581329628592,5.31466333432806,1.88427050709759e-07,0.000120062721238189,6.84550017682918
CDCA3,0.689725669333269,12.5721643430817,5.30659867127852,1.96315981370533e-07,0.000120062721238189,6.80766610308393
HIST1H3H,0.971472441217611,12.0970645644535,5.28870958781118,2.14976310184159e-07,0.000120798212872759,6.72391606942657
MKNK1,0.728954138123834,11.0524672266704,5.27750019579553,2.27534291471054e-07,0.000120798212872759,6.6715600582329
GPSM2,0.809151944762672,9.57555016460563,5.27648535291249,2.28705738657547e-07,0.000120798212872759,6.66682465576884
RPL39L,0.646316209415697,11.0207793574648,5.22601407491494,2.94959003279297e-07,0.000149018418178497,6.43229467539104
ATAD2,0.635817019959171,10.3022234030254,5.19975490802841,3.36441967791653e-07,0.000162893986072459,6.31103230494719
CYP3A5,-1.37026972682817,9.44355795412676,-5.15757881602509,4.15163031602983e-07,0.000185545939508718,6.11735789783339
KIF2C,0.734414187845629,8.71685902130423,5.03518377269448,7.5827600985863e-07,0.000293705574485243,5.56297075061107
RRM2,0.719760292254208,11.8835851516225,4.98567967252065,9.64289141326348e-07,0.000342527678955127,5.34199741476499
ZFP36,-0.677165076026066,8.84905609132676,-4.98387182411263,9.72755026292531e-07,0.000342527678955127,5.33396331616494
AGR3,-1.10749707783361,8.60791759475211,-4.96314814612836,1.0750807632108e-06,0.000362894062575734,5.2420469466591
MAGI3,0.949542903510773,8.2786333322169,4.84513467985525,1.88809354514712e-06,0.000549074687653459,4.72495133022985
RPS23,-0.732808916320814,10.8083591896056,-4.83865712010117,1.94675332614718e-06,0.000549074687653459,4.69688203891157
MYO5B,-0.778416471146197,8.55873162903944,-4.83723951718427,1.95982341923304e-06,0.000549074687653459,4.69074348497112
CLSPN,0.701588852971723,8.50990224076338,4.82144274203515,2.11131538378052e-06,0.000570546157198363,4.6224458019602
CKAP2L,0.845477695269741,11.8433750552704,4.81040974256266,2.22375622026496e-06,0.000579322987793786,4.57485995314256
GTSE1,1.02533564444282,10.4106452324535,4.73594855661619,3.14831156851772e-06,0.000778369796301614,4.25619739368105
UBE2T,0.671678019935077,10.6639059824507,4.69246025467065,3.84929116684072e-06,0.000894103902103229,4.07210090855172
FOXM1,0.899499344943445,11.0055086805803,4.68827313526527,3.92420817618457e-06,0.000894103902103229,4.05445450832244
VTCN1,1.07822798486424,12.2299762343606,4.66164571914585,4.43451798956858e-06,0.000972247151675225,3.94255871224486
GIPR,-0.619476339767241,6.22838645853521,-4.64001696734924,4.89545731483942e-06,0.00105342988885989,3.85208152596245
BUB1,0.756336828264643,8.27106076460563,4.62161441947835,5.32361433063019e-06,0.00112473451858042,3.77539207596925
CDCA5,0.717431992094306,11.1849821116085,4.50226345530985,9.10989587457528e-06,0.00179418627224686,3.2845601156946
PHLDA1,-0.663131227614889,10.3458763848563,-4.39430751922747,1.46643790375615e-05,0.00254689618111443,2.85041900679197
MCM4,0.727209814293787,9.66198269515493,4.39057261638419,1.49053919291511e-05,0.00254689618111443,2.83556731128537
PLK1,0.59714969838766,8.79420021389296,4.37136860218222,1.62057186075629e-05,0.00265225986225184,2.75938139702635
USP18,0.645357756344763,8.7881940539493,4.32447020151887,1.98532814935444e-05,0.00299604066175306,2.57458224843983
LMO7,-0.647370771921228,11.4895254720563,-4.26946368119648,2.51333294337824e-05,0.00354246935462055,2.3601109462735
SPG20,-0.676890356728768,8.89493688689577,-4.24075324615701,2.83975959917529e-05,0.0036780597331217,2.24914812971146
JSRP1,1.02298159041757,11.8709833391746,4.21535378180351,3.16194192158789e-05,0.00395072743320981,2.15154353826336
XKR6,-0.60631449876373,6.41751070144507,-4.2090569491831,3.24705105868253e-05,0.00395875103994841,2.12742787404952
