"",scbatch_sz,patbatch_sz,hidden_feats,do_prc,TPR,FPR,TNR,FNR,F1,Accuracy,Precision,P_pos
1,464,62,78,0.4,0,0,1,1,0,0.844156099479013,0,0
2,228,58,59,0.5,0,0,1,1,0,0.844156099479013,0,0
3,63,93,48,0.7,0,0,1,1,0,0.844156099479013,0,0
4,244,96,31,0.1,0,0,1,1,0,0.844156099479013,0,0
5,475,100,47,0.8,0,0,1,1,0,0.844156099479013,0,0
6,355,87,50,0.8,0,0,1,1,0,0.844156099479013,0,0
7,167,37,56,0.9,0,0,1,1,0,0.844156099479013,0,0
8,348,49,31,0.8,0,0,1,1,0,0.844156099479013,0,0
9,278,62,51,0.2,0,0,1,1,0,0.844156099479013,0,0
10,293,45,66,0.5,0,0,1,1,0,0.844156099479013,0,0
11,63,65,29,0.9,0,0,1,1,0,0.844156099479013,0,0
12,423,71,94,0.7,0,0,1,1,0,0.844156099479013,0,0
13,202,84,40,0.7,0,0,1,1,0,0.844156099479013,0,0
14,139,40,48,0.8,0,0,1,1,0,0.844156099479013,0,0
15,140,30,56,0.6,0,0,1,1,0,0.844156099479013,0,0
16,305,96,45,0.7,0,0,1,1,0,0.844156099479013,0,0
17,246,63,79,0.1,0,0,1,1,0,0.844156099479013,0,0
18,140,55,99,0.9,0,0,1,1,0,0.844156099479013,0,0
19,490,74,60,0.3,0,0,1,1,0,0.844156099479013,0,0
20,397,58,63,0.5,0,0,1,1,0,0.844156099479013,0,0
21,186,28,78,0.6,0,0,1,1,0,0.844156099479013,0,0
22,404,37,33,0.9,0,0,1,1,0,0.844156099479013,0,0
23,377,93,95,0.4,0,0,1,1,0,0.844156099479013,0,0
24,75,49,72,0.7,0,0,1,1,0,0.844156099479013,0,0
25,56,76,80,0.9,0,0,1,1,0,0.844156099479013,0,0
26,475,46,63,0.7,0,0,1,1,0,0.844156099479013,0,0
27,186,56,92,0.4,0,0,1,1,0,0.844156099479013,0,0
28,303,49,25,0.8,0,0,1,1,0,0.844156099479013,0,0
29,260,59,64,0.9,0,0,1,1,0,0.844156099479013,0,0
30,469,64,54,0.9,0,0,1,1,0,0.844156099479013,0,0
31,127,54,40,0.9,0,0,1,1,0,0.844156099479013,0,0
32,130,36,78,0.5,0,0,1,1,0,0.844156099479013,0,0
33,92,55,99,0.7,0,0,1,1,0,0.844156099479013,0,0
34,408,54,72,0.6,0,0,1,1,0,0.844156099479013,0,0
35,422,88,44,0.1,0,0,1,1,0,0.844156099479013,0,0
36,381,38,91,0.1,0,0,1,1,0,0.844156099479013,0,0
37,192,95,60,0.1,0,0,1,1,0,0.844156099479013,0,0
38,81,91,76,0.5,0,0,1,1,0,0.844156099479013,0,0
39,158,47,46,0.7,0,0,1,1,0,0.844156099479013,0,0
40,312,61,73,0.5,0,0,1,1,0,0.844156099479013,0,0
41,442,32,66,0.9,0,0,1,1,0,0.844156099479013,0,0
42,474,75,83,0.4,0,0,1,1,0,0.844156099479013,0,0
43,379,98,35,0.6,0,0,1,1,0,0.844156099479013,0,0
44,72,74,79,0.2,0,0,1,1,0,0.844156099479013,0,0
45,460,98,32,0.1,0,0,1,1,0,0.844156099479013,0,0
46,493,100,70,0.5,0,0,1,1,0,0.844156099479013,0,0
47,358,70,90,0.9,0,0,1,1,0,0.844156099479013,0,0
48,184,41,70,0.4,0,0,1,1,0,0.844156099479013,0,0
49,358,86,94,0.3,0,0,1,1,0,0.844156099479013,0,0
50,460,70,96,0.9,0,0,1,1,0,0.844156099479013,0,0
51,200,50,50,0.5,0,0,1,1,0,0.844156099479013,0,0
