"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",152,0.763368249399898,2.74013121515815,1e-10,7.83333333333333e-10,4.56140350877193e-10,1222,"tags=64%, list=12%, signal=58%","LAMC2/LAMA3/COL1A1/LOX/COL1A2/COL12A1/TAGLN/COL5A2/CTHRC1/THBS2/POSTN/COL3A1/TPM2/COL5A1/MYL9/COL6A3/THY1/MXRA5/FSTL3/LOXL1/CALD1/SPARC/FSTL1/PRRX1/LOXL2/BGN/FMOD/PCOLCE/LUM/CAP2/NTM/ACTA2/MYLK/ECM1/SNAI2/FAP/EFEMP2/GJA1/WNT5A/TPM1/COL6A2/COL16A1/MMP2/PLOD2/COL4A1/FBN1/DCN/CDH11/FBLN2/DPYSL3/COL4A2/TIMP1/VCAN/LAMC1/CCN1/CCN2/GPC1/BMP1/FBLN1/IGFBP3/ITGA2/SFRP4/PDGFRB/FERMT2/SDC1/MEST/PFN2/TNFRSF12A/SLC6A8/MMP14/TIMP3/SPP1/FN1/NT5E/ITGB5/SERPINE1/CADM1/VEGFA/IGFBP4/DST/PMEPA1/MGP/PDLIM4/HTRA1/TNC/SGCB/LGALS1/COL8A2/CALU/NNMT/PLOD1/ITGAV/TPM4/THBS1/TGFBI/SDC4/PMP22/TGM2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",113,0.632675141868793,2.22154776648104,1e-10,7.83333333333333e-10,4.56140350877193e-10,1802,"tags=53%, list=17%, signal=44%","COL1A1/TAGLN/TNNC1/COL3A1/TPM2/COL6A3/SPARC/ITGB4/MYLK/AEBP1/COL6A2/COL4A2/TEAD4/CNN3/HSPB8/IGFBP3/SCHIP1/COX7A1/NQO1/SLC6A8/IGFBP7/MYH11/ITGB5/ERBB3/SPHK1/SMTN/PLXNB2/TNNT1/AGRN/KLF5/PDLIM7/MB/CRYAB/TPD52L1/MYO1C/CKB/KIFC3/PC/SORBS3/ABLIM1/ACHE/APOD/SPDEF/CD36/CTF1/NAV2/AK1/SH3BGR/ADAM12/SSPN/DAPK2/MYL6B/DMPK/WWTR1/APP/DTNA/DMD/CRAT/PFKM/FKBP1B"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",131,0.605965218023892,2.1567595280806,1e-10,7.83333333333333e-10,4.56140350877193e-10,1753,"tags=46%, list=17%, signal=38%","CLDN18/LAMC2/LAMA3/MYL9/LAMB3/THY1/ITGB4/COL16A1/MMP2/PARVA/NEXN/FBN1/CDH11/CLDN7/NECTIN4/VCAN/BMP1/ITGA2/CDH1/CRB3/JUP/TJP1/SGCE/CERCAM/ITGA3/CLDN4/GRB7/MYH10/ADAM9/RRAS/PCDH1/GNAI1/CTNND1/VCL/NECTIN2/MPZL2/MPZL1/ACTN1/IRS1/PTK2/SRC/VAV2/WASL/CD276/TSPAN4/CTNNA1/ADAM15/SORBS3/FSCN1/TGFBI/CX3CL1/THBS3/EGFR/LIMA1/ALOX15B/ICAM1/TUBG1/SDC3/CRAT/EPB41L2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",83,0.630390556532,2.15622456820247,1e-10,7.83333333333333e-10,4.56140350877193e-10,1340,"tags=46%, list=13%, signal=40%","SPARC/CTSE/MMP11/MMP2/FBN1/F3/CTSK/TIMP1/ANG/BMP1/ACOX2/C1S/ITGA2/C1R/GNG12/PLAT/MMP14/TIMP3/CFB/FN1/HPN/SERPINE1/ADAM9/PLAU/CFH/PRSS23/CRIP2/HTRA1/CFI/MMP15/CSRP1/PROS1/MST1/THBS1/C3/MSRB2/S100A13/A2M"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",144,0.591219696497946,2.11437128866829,1e-10,7.83333333333333e-10,4.56140350877193e-10,1470,"tags=44%, list=14%, signal=39%","LAMC2/TNNC1/SEMA3B/KRT19/CA12/EMP2/CAV1/KLK10/SULT2B1/AGR2/WFS1/FRK/S100A9/ASS1/TFF3/PDLIM3/SFN/HSPB8/ACOX2/CDH1/MEST/TPBG/PKP3/GINS2/DNAJC12/TSPAN13/CDC20/CA2/PLXNB1/CXCL14/PTGES/CCND1/ALDH3B1/FARP1/NBL1/SCNN1A/PERP/UNC13B/PRSS23/IGFBP4/CPE/ST6GALNAC2/TOP2A/ABCA3/FLNB/LLGL2/TPD52L1/GALE/CACNA2D2/CKB/KLK11/ABHD2/TST/MYOF/LSR/OLFM1/ST14/BLVRB/IMPA2/FOXC1/TJP3/FGFR3/PAPSS2/UGDH"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",161,0.573482268781889,2.06028250164883,1e-10,7.83333333333333e-10,4.56140350877193e-10,1485,"tags=43%, list=14%, signal=38%","SEMA3B/KRT19/LAD1/CA12/KLK10/SULT2B1/FHL2/GJA1/WFS1/CLDN7/FRK/KCNK15/TFF3/PDLIM3/KRT8/SFN/HSPB8/TSKU/KRT18/TPBG/MUC1/SLC7A2/RHOD/KRT15/ELF3/PTGES/CCND1/ALDH3B1/ESRP2/RAB17/DLC1/FARP1/NBL1/SCNN1A/MSMB/PRSS23/IGFBP4/KAZN/ZNF185/SYBU/WWC1/ABCA3/FLNB/TPD52L1/CELSR1/MLPH/ABHD2/TUBB2B/OLFML3/MYOF/AR/OLFM1/HES1/SYT12/TMEM164/ABLIM1/BLVRB/DEPTOR/ASB13/TBC1D30/FOXC1/TGM2/RHOBTB3/NAV2/TTC39A/TJP3/PAPSS2/SNX24/MINDY1/INHBB"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",115,0.568081786996929,2.00013084607676,2.94660849940776e-09,1.97843713531664e-08,1.15205745841507e-08,1491,"tags=39%, list=14%, signal=34%","COL1A1/COL1A2/COL5A2/COL3A1/CAV1/LTBP1/FHL2/CAP2/SNAI2/GJA1/F3/EFEMP1/LAMC1/CCN1/APBB2/PDGFRB/SCHIP1/TJP1/MAP1B/ID1/SDC2/RBPMS/SERPINE1/MT1E/TFPI/ERBB2/DLC1/DDAH1/MGLL/CDC42BPA/NFIB/LPAR1/PTPRM/IRS1/VAV2/ANXA4/ANXA2/ATRN/PMP22/IGFBP5/FBLN5/BMPR1A/MET/RND3/SLC7A1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",162,0.510795009368059,1.83573752986425,5.33852177453284e-08,3.13638154253804e-07,1.82633639655071e-07,3119,"tags=60%, list=30%, signal=43%","COL5A1/PLOD2/KDELR3/DCN/ANG/VCAN/TFF3/GPC1/ANGPTL4/SOX9/IGFBP3/SDC1/TPBG/SDC2/P4HA2/HMMR/NT5E/TPST1/AK4/ELF3/EXT1/NOL3/AGRN/GPC4/EGLN3/VEGFA/CLDN3/CHPF/SLC25A10/B4GALT2/HK2/GALE/CENPA/TGFA/ALDH7A1/ME1/PC/PLOD1/PYGB/DSC2/TGFBI/SRD5A3/GPC3/MIF/PPP2CB/PKM/EGFR/ERO1A/MET/PYGL/PAM/TXN/ENO1/ALG1/GFPT1/QSOX1/SDC3/CDK1/GOT2/ADORA2B/CYB5A/TPI1/GLCE/GALK1/TALDO1/ALDOA/HDLBP/MERTK/PGAM1/PFKP/IDH1/NSDHL/BIK/SLC37A4/CLN6/CHPF2/LDHA/SLC16A3/SPAG4/SLC25A13/LHPP/STMN1/NDUFV3/COPB2/MDH2/EXT2/P4HA1/IER3/HS6ST2/GCLC/ENO2/IDUA/IL13RA1/GYS1/PMM2/FAM162A/GMPPA/GNE"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",26,0.745199492477561,2.14538126399219,8.47381626823101e-07,4.42521516229842e-06,2.57683301723984e-06,1042,"tags=58%, list=10%, signal=52%","COL5A2/POSTN/COL3A1/FSTL1/LUM/PDGFA/TIMP1/VCAN/TNFRSF21/SPP1/VEGFA/PTK2/JAG1/VAV2/ITGAV"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",136,0.497675280759429,1.77467703347668,2.69790618959113e-06,1.26801590910783e-05,7.38374325572309e-06,3240,"tags=58%, list=31%, signal=40%","ALDH3A1/ATOH8/FBLN1/ACOX2/BCAR1/JUP/NQO1/CA2/CDA/CFB/EPHA2/TPST1/RAP1GAP/PTGES/SERPINE1/HSD11B1/PYCR1/IGFBP4/SPINT2/SLC12A4/MT2A/SMOX/VNN1/PC/AKR1C3/PTGR1/PROS1/PEMT/BLVRB/GCNT2/CD36/IL1R1/ABCC3/AQP9/PAPSS2/TNFRSF1A/UGDH/GSR/BCAT1/MAOA/TMEM176B/AKR1C2/PDLIM5/DDC/PGRMC1/FAH/TMEM97/CYB5A/ESR1/ACP2/CYP2S1/PDK4/ACOX1/COMT/RETSAT/PINK1/IDH1/PGD/ATP2A2/TKFC/ETS2/CBR1/BPHL/ADH5/ENTPD5/PTS/GSTO1/LONP1/SSR3/NFS1/GCLC/PMM1/EPHX1/TMBIM6/POR/HES6/ASL/MCCC2/AHCY"
